day,intraday,time_normalized,instantaneous_vol,date,realized_vol,RV_daily,RV_weekly,RV_monthly
86,0,0.0,1.5449583403546197e-05,2025-08-21,0.0034281830632664663,0.0034281830632664663,0.003660754009289857,0.004624137790984439
87,0,0.0,2.2965398003679677e-05,2025-08-22,0.003461372366391827,0.003461372366391827,0.0035512841200863758,0.004561082883715217
88,0,0.0,1.2983572820687586e-05,2025-08-25,0.002952713140844612,0.002952713140844612,0.0034239703988583102,0.004547653489294937
89,0,0.0,1.5443650477690715e-05,2025-08-26,0.0043348288670002275,0.0043348288670002275,0.0032615476826370767,0.004526240566389269
90,0,0.0,3.435045831569481e-05,2025-08-28,0.005654817991425908,0.005654817991425908,0.0034431253089413903,0.004542962749885832
91,0,0.0,2.2126050394390675e-05,2025-08-29,0.004872747010141723,0.004872747010141723,0.0039663830857858086,0.004552498269183465
92,0,0.0,1e-05,2025-09-01,0.0032054777035627584,0.0032054777035627584,0.00425529587516086,0.004521635121190631
93,0,0.0,1.774210070262587e-05,2025-09-02,0.005422986199595443,0.005422986199595443,0.004204116942595045,0.0044267399384516504
94,0,0.0,1.2908950705758771e-05,2025-09-03,0.004331743495560102,0.004331743495560102,0.004698171554345211,0.004458948503262525
95,0,0.0,2.7007027004452305e-05,2025-09-04,0.0052515957497621425,0.0052515957497621425,0.004697554480057186,0.004364586323402905
96,0,0.0,3.6255902577131996e-05,2025-09-05,0.005173796724538636,0.005173796724538636,0.004616910031724434,0.004318265616632703
97,0,0.0,1.0768556547595698e-05,2025-09-08,0.004466375508733685,0.004466375508733685,0.0046771199746038165,0.004312674847242713
98,0,0.0,1e-05,2025-09-09,0.004450043598227086,0.004450043598227086,0.004929299535638002,0.004317402427979706
99,0,0.0,1.20897230767538e-05,2025-09-10,0.0035005394991359765,0.0035005394991359765,0.00473471101536433,0.004313101308947672
100,0,0.0,1e-05,2025-09-11,0.003890937781278421,0.003890937781278421,0.004568470216079505,0.004241847244444706
101,0,0.0,2.1784334152335603e-05,2025-09-12,0.002307045104507672,0.002307045104507672,0.004296338622382761,0.004207501548522452
102,0,0.0,1e-05,2025-09-15,0.0031902227113705813,0.0031902227113705813,0.003722988298376568,0.004110163495503852
103,0,0.0,1.1200438931497812e-05,2025-09-16,0.00365964793797038,0.00365964793797038,0.0034677577389039477,0.004009054389172389
104,0,0.0,1e-05,2025-09-17,0.0029189749484174465,0.0029189749484174465,0.0033096786068526063,0.00399469599956723
105,0,0.0,1e-05,2025-09-18,0.0038846901467789598,0.0038846901467789598,0.0031933656967089003,0.003941106634834744
106,0,0.0,1.3677903422869821e-05,2025-09-19,0.003440746941648131,0.003440746941648131,0.0031921161698090076,0.003946554972326933
107,0,0.0,1.398749798473547e-05,2025-09-22,0.00391698234212554,0.00391698234212554,0.0034188565372371,0.003947182527152818
108,0,0.0,2.1624637660291982e-05,2025-09-23,0.0051743135159793615,0.0051743135159793615,0.003564208463388092,0.00398711221964926
109,0,0.0,1.0431145393697689e-05,2025-09-24,0.0037386592379406412,0.0037386592379406412,0.0038671415789898883,0.004066481785681664
110,0,0.0,1.912842859278802e-05,2025-09-25,0.004598521813765595,0.004598521813765595,0.004031078436894527,0.004079085734388428
111,0,0.0,1.4159655457577132e-05,2025-09-26,0.004625433296438737,0.004625433296438737,0.004173844770291853,0.0041538952195212
112,0,0.0,3.513059146077764e-05,2025-09-29,,,0.004410782041249975,0.004167104511768404
113,0,0.0,1.5557118437413028e-05,2025-09-30,0.005244315301751874,0.005244315301751874,,
114,0,0.0,3.94488020386985e-05,2025-10-01,0.005153016920281768,0.005153016920281768,,
115,0,0.0,1.1198761548776524e-05,2025-10-03,0.004227186812275028,0.004227186812275028,,
116,0,0.0,2.180624735627539e-05,2025-10-06,0.004098885123874284,0.004098885123874284,,
117,0,0.0,2.0764585458855606e-05,2025-10-07,0.005026051043345433,0.005026051043345433,,
118,0,0.0,4.3153736481800755e-05,2025-10-08,0.0053491704421226175,0.0053491704421226175,0.004749891040305677,
119,0,0.0,3.277237031031857e-05,2025-10-09,0.004883542451942979,0.004883542451942979,0.004770862068379826,
120,0,0.0,1.59284030922463e-05,2025-10-10,0.0042227683949884074,0.0042227683949884074,0.0047169671747120685,
121,0,0.0,1.0354442137525577e-05,2025-10-13,0.004638893220849322,0.004638893220849322,0.004716083491254745,
122,0,0.0,3.493568103769289e-05,2025-10-14,0.006053382082772475,0.006053382082772475,0.004824085110649752,
123,0,0.0,2.4459792920896294e-05,2025-10-15,0.003899806791476487,0.003899806791476487,0.005029551318535161,
124,0,0.0,1.1418352229916413e-05,2025-10-16,0.0036669179134679007,0.0036669179134679007,0.004739678588405934,
125,0,0.0,5.106097254929939e-05,2025-10-17,0.0055873722754933705,0.0055873722754933705,0.004496353680710918,
126,0,0.0,1e-05,2025-10-20,0.005671033814252691,0.005671033814252691,0.004769274456811912,
127,0,0.0,3.996867310671352e-05,2025-10-21,0.001819732263121589,0.001819732263121589,0.004975702575492584,
128,0,0.0,1e-05,2025-10-23,0.004834024861839887,0.004834024861839887,0.004128972611562408,
129,0,0.0,2.2258411091993403e-05,2025-10-24,0.005194738946870899,0.005194738946870899,0.004315816225635088,
130,0,0.0,2.061995006039358e-05,2025-10-27,0.004013679752101988,0.004013679752101988,0.004621380432315687,
131,0,0.0,4.0525645819072525e-05,2025-10-28,0.006451831003159876,0.006451831003159876,0.00430664192763741,
132,0,0.0,1.639696364609988e-05,2025-10-29,0.004231814218712206,0.004231814218712206,0.004462801365418849,
133,0,0.0,1.4346675546773218e-05,2025-10-30,0.004582081142612792,0.004582081142612792,0.004945217756536971,
134,0,0.0,4.074405413334754e-05,2025-10-31,0.00430205299394246,0.00430205299394246,0.004894829012691552,
135,0,0.0,1.8204405459057226e-05,2025-11-03,0.004673027199883998,0.004673027199883998,0.004716291822105864,0.004688740807784379
136,0,0.0,1.488552967904451e-05,2025-11-04,0.004454498698032285,0.004454498698032285,0.0048481613116622664,0.004662773166790384
137,0,0.0,2.5611080771275975e-05,2025-11-06,0.005132169899955038,0.005132169899955038,0.004448694850636749,0.004631022338506317
138,0,0.0,3.244451688516395e-05,2025-11-07,0.004830277300641056,0.004830277300641056,0.004628765986885315,0.004672157933400862
139,0,0.0,2.331140872140616e-05,2025-11-10,0.003933991383045664,0.003933991383045664,0.004678405218490968,0.004705403032344807
140,0,0.0,2.245821086087011e-05,2025-11-11,0.00458124454503169,0.00458124454503169,0.004604792896311609,0.0046557639568766355
141,0,0.0,2.094625040713674e-05,2025-11-12,0.0036146634282893915,0.0036146634282893915,0.004586436365341147,0.0046208582342815935
142,0,0.0,3.5143573925093775e-05,2025-11-13,0.004578251449734262,0.004578251449734262,0.0044184693113925675,0.004563181915024612
143,0,0.0,1.259021840044281e-05,2025-11-14,,,0.004307685621348413,0.004579340235694879
144,0,0.0,1.0196007955820791e-05,2025-11-17,0.0034431906708793877,0.0034431906708793877,,
145,0,0.0,2.0536865220884794e-05,2025-11-18,0.003746253975111394,0.003746253975111394,,
146,0,0.0,1.6257582945285997e-05,2025-11-19,0.0035675190751468526,0.0035675190751468526,,
147,0,0.0,1.612842176883693e-05,2025-11-20,0.0036259834611135472,0.0036259834611135472,,
148,0,0.0,1.855636822976316e-05,2025-11-21,0.003628067690064687,0.003628067690064687,,
149,0,0.0,1.3980935658159294e-05,2025-11-24,0.004172232603926012,0.004172232603926012,0.0036022029744631734,
150,0,0.0,1.3062443686468357e-05,2025-11-25,0.00437873885554194,0.00437873885554194,0.0037480113610724986,
